chapter,label,type,x,y,notes
11,Kam Air,entity,4,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
12,Doha,city,3,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
13,Ghayour,person,11,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
14,Najib Sharifi,person,12,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
15,40 staff,person,13,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
15,40 staff blank,blank,16,4,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
16,Afghan Journalists,person,13,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
17,3 safe houses,place,13,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
17,3 safe houses blank,blank,16,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
18,Afghan Journalists Safety Commitee,group,13,3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
19,Kabul,city,12,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
20,700 Journalists and Family Members,group,9,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
20,700 Journalists and Family Members blank,blank,11,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
21,Family Members,person,11,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
22,Abbas Dollar,person,4,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
23,Golden Castle,place,4,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
23,Golden Castle blank,blank,7,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
24,Habib,person,3,5,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
25,Habib Guest House,place,3,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
25,Habib Guest House blank,blank,7,9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
26,Shawn,person,5,6,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
27,Shawn Guest House,place,5,7,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
28,Edi Rama,person,10,2,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
29,Visas,entity,11,1,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
30,Network supporting Afghan Journalists,group,7,11,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
31,Mazar-i-Sharif,city,7,12,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec sollicitudin feugiat varius. Vivamus vitae mattis tortor. Aliquam interdum lectus lacus, non egestas erat tincidunt sed. Cras non purus elementum, feugiat nunc in, porttitor nisl. Nulla egestas tortor ac arcu hendrerit ultrices. Mauris purus sem, fermentum id sollicitudin sed, sagittis ac lectus. Ut posuere nibh non tortor pulvinar, sit amet consequat mi malesuada."
